gene,influence
PGR,4.23E-03
RELA,4.23E-03
TFDP1,4.23E-03
HOXD13,4.22E-03
ZKSCAN3,4.21E-03
NFIB,4.17E-03
MAFB,4.12E-03
STAT5A,4.12E-03
ELF5,4.11E-03
IRF7,4.11E-03
TLX1,4.11E-03
ELK1,4.09E-03
FOXD2,4.09E-03
MEF2B /// MEF2BNB /// MEF2BNB-MEF2B,4.09E-03
SOX2,4.09E-03
BCL6,4.08E-03
ERG,4.07E-03
REL,4.06E-03
RFX1,4.06E-03
HIF1A,4.05E-03
NKX2-8,4.03E-03
TFE3,4.02E-03
MAFK,4.01E-03
NKX3-1,4.00E-03
HOXC13,3.99E-03
TBX4,3.99E-03
UBP1,3.98E-03
NFYA,3.97E-03
RFX3,3.97E-03
AR,3.95E-03
HOXD10,3.95E-03
FOSL1,3.94E-03
MAX,3.93E-03
IRF9,3.92E-03
NFKB2,3.92E-03
NRL,3.92E-03
CREB3L1,3.90E-03
MITF,3.90E-03
NKX2-5,3.90E-03
TEAD3,3.90E-03
FOSL2,3.89E-03
MEIS2,3.89E-03
TBR1,3.89E-03
CREM,3.88E-03
SIX5,3.86E-03
NFE2,3.82E-03
STAT3,3.81E-03
ETV2,3.80E-03
STAT5B,3.78E-03
ZBTB33,3.78E-03
HOXC6,3.75E-03
ELF4,3.74E-03
TCF7,3.74E-03
ZNF384,3.74E-03
FOXA2,3.72E-03
TEAD1,3.70E-03
ZSCAN16,3.70E-03
SREBF1,3.69E-03
ONECUT1,3.68E-03
E2F2,3.67E-03
HOXD12,3.67E-03
POU1F1,3.67E-03
ATF1,3.66E-03
POU5F1 /// POU5F1B /// POU5F1P3 /// POU5F1P4,3.64E-03
ETV3,3.62E-03
MAFF,3.60E-03
NKX2-2,3.60E-03
TEAD4,3.60E-03
CEBPB,3.59E-03
CDX2,3.57E-03
FOSB,3.57E-03
HEY1,3.57E-03
PAX8,3.54E-03
CEBPZ,3.53E-03
MYC,3.53E-03
NR3C1,3.50E-03
TCF7L1,3.49E-03
MXI1,3.48E-03
GCM2,3.46E-03
PITX2,3.46E-03
NR1H2,3.45E-03
POU3F3,3.45E-03
GFI1B,3.40E-03
POU2F1,3.39E-03
MYB,3.38E-03
BACH1,3.37E-03
MEIS1,3.37E-03
SOX21,3.37E-03
SOX17,3.35E-03
JUND,3.34E-03
SOX18,3.33E-03
POU2F3,3.32E-03
E2F8,3.31E-03
GATA1,3.26E-03
MYBL2,3.26E-03
FOXD1,3.25E-03
STAT6,3.25E-03
CEBPD,3.24E-03
HSF2,3.24E-03
RORA,3.23E-03
HNF1A,3.20E-03
HOXA1,3.19E-03
HOXB1,3.18E-03
POU2F2,3.16E-03
POU6F1,3.16E-03
FOXB1,3.15E-03
JUN,3.15E-03
FOXH1,3.14E-03
MNT,3.14E-03
SOX9,3.14E-03
HBP1,3.12E-03
NR6A1,3.12E-03
CEBPG,3.10E-03
PITX3,3.10E-03
ERF,3.09E-03
FOXC1,3.09E-03
FOXI1,3.08E-03
HOXD9,3.08E-03
MECOM,3.08E-03
NANOG,3.08E-03
GATA4,3.07E-03
HOXC10,3.06E-03
PAX9,3.06E-03
RORC,3.06E-03
FOS,3.05E-03
POU3F4,3.02E-03
GATA2,3.00E-03
HINFP,2.97E-03
PBX2,2.96E-03
POU4F1,2.94E-03
RFX4,2.94E-03
ATF3,2.93E-03
GATA3,2.91E-03
FOXP3,2.90E-03
PPARA,2.90E-03
SOX10,2.88E-03
NFATC1,2.87E-03
ARNT,2.85E-03
PAX1,2.85E-03
SRF,2.84E-03
MSX1,2.83E-03
CDX1,2.80E-03
MSC,2.80E-03
PROX1,2.80E-03
POU3F1,2.78E-03
SOX14,2.78E-03
HOXB13,2.77E-03
CEBPA,2.76E-03
MYCN,2.75E-03
TBP,2.75E-03
HSF4,2.74E-03
DBP,2.73E-03
LEF1,2.72E-03
MSX2,2.69E-03
ALX1,2.68E-03
HOXB5,2.68E-03
OVOL1,2.68E-03
BHLHE40,2.67E-03
PBX1,2.67E-03
PHOX2A,2.65E-03
TBX21,2.65E-03
TFEC,2.65E-03
PITX1,2.62E-03
AHR,2.61E-03
CRX,2.61E-03
POU4F3,2.61E-03
PROP1,2.61E-03
HOXC8,2.60E-03
SOX13,2.58E-03
CENPB,2.57E-03
FOXG1,2.57E-03
PRRX2,2.55E-03
GSC2,2.54E-03
TLX2,2.54E-03
PKNOX1,2.53E-03
TFEB,2.52E-03
AIRE,2.51E-03
ALX4,2.51E-03
POU6F2,2.51E-03
ZFHX3,2.50E-03
LHX2,2.49E-03
POU5F1B,2.49E-03
BATF,2.48E-03
LMX1B,2.48E-03
CREB1,2.47E-03
MNX1,2.47E-03
SOX5,2.47E-03
POU3F2,2.46E-03
BARX1,2.44E-03
XBP1,2.44E-03
HOXB7,2.43E-03
LHX3,2.43E-03
SOX15,2.43E-03
PHOX2B,2.42E-03
PRRX1,2.42E-03
DLX6,2.41E-03
ZNF232,2.41E-03
IRX5,2.39E-03
BARX2,2.36E-03
FOXL1,2.36E-03
PAX6,2.36E-03
BATF3,2.35E-03
HOXB6,2.35E-03
GATA6,2.34E-03
E2F5,2.33E-03
MLX,2.33E-03
CLOCK,2.32E-03
ETV1,2.31E-03
HOXB2,2.30E-03
HOXA7,2.29E-03
HNF1B,2.28E-03
POU4F2,2.26E-03
CDC5L,2.25E-03
DMRT1,2.25E-03
RAX,2.21E-03
CREB3,2.20E-03
PDX1,2.20E-03
TBX19,2.20E-03
ATF4,2.18E-03
EMX1,2.18E-03
HMX1,2.18E-03
HLF,2.17E-03
MEOX1,2.17E-03
SHOX2,2.17E-03
ISL1,2.16E-03
MAFG,2.15E-03
VENTX,2.14E-03
LBX1,2.13E-03
SHOX,2.12E-03
SPDEF,2.12E-03
ARID5B,2.11E-03
OLIG2,2.11E-03
CEBPE,2.10E-03
HOXB3,2.10E-03
HOXB8,2.10E-03
NFE2L1,2.10E-03
MEOX2,2.09E-03
EN1,2.07E-03
HOXA2,2.07E-03
HMGA2,2.06E-03
LHX6,2.06E-03
TEF,2.04E-03
DLX2,2.02E-03
GMEB1,1.99E-03
EVX1,1.98E-03
HMBOX1,1.98E-03
CXXC1,1.97E-03
HOXC11,1.97E-03
CUX2,1.95E-03
HOXD11,1.95E-03
EN2,1.94E-03
NFIL3,1.92E-03
E4F1,1.91E-03
ATF7,1.89E-03
NEUROG2,1.89E-03
DLX4,1.87E-03
NEUROD2,1.85E-03
VSX1,1.84E-03
GBX2,1.81E-03
ZFHX2,1.81E-03
CUX1,1.77E-03
GBX1,1.76E-03
HOXA5,1.75E-03
PAX2,1.72E-03
EMX2,1.71E-03
UXS1,1.71E-03
ALX3,1.70E-03
RAB22A,1.70E-03
DLX5,1.69E-03
VAX2,1.66E-03
KIF15,1.65E-03
C2orf49,1.64E-03
IGBP1,1.64E-03
SDK2,1.64E-03
BLNK,1.63E-03
TBXA2R,1.63E-03
DYNC1LI2,1.61E-03
IP6K1,1.60E-03
MYBL1,1.60E-03
NUP88,1.60E-03
PAXBP1,1.60E-03
TKT,1.60E-03
PDS5A,1.59E-03
SRRD,1.59E-03
CAMK2G,1.58E-03
MRPS17,1.58E-03
ZBTB24,1.58E-03
ATP2B4,1.57E-03
KCMF1,1.57E-03
PAFAH2,1.57E-03
SERINC1,1.57E-03
CYP27A1,1.56E-03
GNG10,1.56E-03
ZNF362,1.56E-03
BDNF,1.55E-03
MYL6,1.55E-03
RNF10,1.55E-03
ABCA11P,1.54E-03
CALML4,1.54E-03
CENPBD1P1,1.54E-03
FPGT-TNNI3K /// TNNI3K,1.54E-03
NGFR,1.54E-03
PFDN2,1.54E-03
PIGV,1.54E-03
RNF146,1.54E-03
ADH1B,1.53E-03
ATP6V0A1,1.53E-03
CEP72,1.53E-03
LTF,1.53E-03
DDX1,1.52E-03
FBXW4,1.52E-03
MCM5,1.52E-03
PAX7,1.52E-03
RMND5A,1.52E-03
XPO6,1.52E-03
ATP1B2,1.51E-03
CHRNB1,1.51E-03
CHST5,1.51E-03
GABRE /// MIR224 /// MIR452,1.51E-03
LINC00894,1.51E-03
MOB4,1.51E-03
NME4,1.51E-03
OXCT2,1.51E-03
SNW1,1.51E-03
TM9SF4,1.51E-03
ZNF549,1.51E-03
ADA,1.50E-03
AP1M2,1.50E-03
APOBEC3C,1.50E-03
IPO9,1.50E-03
LTBP2,1.50E-03
PIK3C2G,1.50E-03
TCTN1,1.50E-03
TDP1,1.50E-03
TRAM2,1.50E-03
TRIM9,1.50E-03
ZNF426,1.50E-03
BLVRB,1.49E-03
CCL22,1.49E-03
CD247,1.49E-03
CNOT3,1.49E-03
CST7,1.49E-03
CTDSP2,1.49E-03
HGH1,1.49E-03
KIAA0930,1.49E-03
PLK1,1.49E-03
PRH1 /// PRH1-PRR4 /// PRH2,1.49E-03
RBM6,1.49E-03
TRIM27,1.49E-03
CALB2,1.48E-03
COL16A1,1.48E-03
LAX1,1.48E-03
LIMCH1,1.48E-03
MEG3,1.48E-03
NTRK3,1.48E-03
PPP1CA,1.48E-03
SLC35C2,1.48E-03
TXNRD1,1.48E-03
ZBED2,1.48E-03
ARL2,1.47E-03
CACNB1,1.47E-03
IQGAP2,1.47E-03
MRPS28,1.47E-03
RAD51AP1,1.47E-03
SULT4A1,1.47E-03
TRPC3,1.47E-03
UAP1,1.47E-03
ADAM19,1.46E-03
ANAPC1 /// LOC730268,1.46E-03
ARHGEF17,1.46E-03
BTN2A2,1.46E-03
CCDC71,1.46E-03
CHAC1,1.46E-03
CR2,1.46E-03
FADS1 /// MIR1908,1.46E-03
FAM3C,1.46E-03
OIP5,1.46E-03
ORMDL2,1.46E-03
PUF60,1.46E-03
SOAT2,1.46E-03
TBL1X,1.46E-03
UBA52,1.46E-03
UROD,1.46E-03
ABCC1,1.45E-03
ACTN4,1.45E-03
AMBRA1,1.45E-03
AVL9,1.45E-03
C1orf174,1.45E-03
CD47,1.45E-03
CLUAP1,1.45E-03
GNL2,1.45E-03
GSTO1,1.45E-03
HSPBP1,1.45E-03
KIAA0753,1.45E-03
ORC1,1.45E-03
PEG10,1.45E-03
PIWIL2,1.45E-03
POM121C,1.45E-03
RAB26,1.45E-03
RAB8B,1.45E-03
SF3B4,1.45E-03
SS18L1,1.45E-03
THBS3,1.45E-03
TNFRSF13B,1.45E-03
TRIM33,1.45E-03
TTC31,1.45E-03
TXLNA,1.45E-03
ZNF613,1.45E-03
AVPI1,1.44E-03
CCRL2,1.44E-03
CD69,1.44E-03
CHPT1,1.44E-03
COL8A1,1.44E-03
DIP2C,1.44E-03
DOCK9,1.44E-03
DUSP8 /// LOC101927562,1.44E-03
FBXO42,1.44E-03
GOLPH3,1.44E-03
GPR27,1.44E-03
GSK3A,1.44E-03
HSPH1,1.44E-03
KLF3-AS1,1.44E-03
LAS1L,1.44E-03
LRRFIP2,1.44E-03
MFN2,1.44E-03
NUDT4,1.44E-03
PARP2,1.44E-03
PEBP1,1.44E-03
RBMX2,1.44E-03
SCNM1 /// TNFAIP8L2-SCNM1,1.44E-03
SNX27,1.44E-03
TIMM9,1.44E-03
TMEM30B,1.44E-03
YARS2,1.44E-03
ANGPT2,1.43E-03
APOO,1.43E-03
ARHGEF1 /// LOC100505585,1.43E-03
C1orf21,1.43E-03
CASP1,1.43E-03
CHKB,1.43E-03
CLDN3,1.43E-03
COPS3,1.43E-03
CT62,1.43E-03
DSG2,1.43E-03
GOT1,1.43E-03
HNRNPH1,1.43E-03
IGKC,1.43E-03
KDM2A,1.43E-03
LYN,1.43E-03
MAP1S,1.43E-03
PMAIP1,1.43E-03
POLG,1.43E-03
PRPF4,1.43E-03
PTMA,1.43E-03
QTRT1,1.43E-03
RASL11B,1.43E-03
RIMS2,1.43E-03
RRP7A,1.43E-03
SLC23A2,1.43E-03
SUPT4H1,1.43E-03
USP1,1.43E-03
ZBED1,1.43E-03
ZNF234,1.43E-03
AIDA,1.42E-03
BTRC,1.42E-03
CABYR,1.42E-03
DDR1 /// MIR4640,1.42E-03
DGKG,1.42E-03
DNAJB9,1.42E-03
ELAC1,1.42E-03
FAM118A,1.42E-03
GUCY2C,1.42E-03
HERC2P2 /// HERC2P9,1.42E-03
HIST1H4I,1.42E-03
ITCH,1.42E-03
MMP12,1.42E-03
NCK2,1.42E-03
NDUFA9,1.42E-03
PCDHGA9,1.42E-03
SLC19A2,1.42E-03
SPEN,1.42E-03
SSBP3,1.42E-03
STK25,1.42E-03
TP73-AS1,1.42E-03
TRIL,1.42E-03
U2AF2,1.42E-03
VAMP1,1.42E-03
AGER,1.41E-03
BRD2,1.41E-03
CACNA1C,1.41E-03
CACNA1F,1.41E-03
CCR2,1.41E-03
CHN1,1.41E-03
ERLIN1,1.41E-03
FLCN,1.41E-03
GALT,1.41E-03
GGA3,1.41E-03
HSD17B7,1.41E-03
HSF2BP,1.41E-03
IQSEC1,1.41E-03
ITPKC,1.41E-03
LUC7L,1.41E-03
NAGPA,1.41E-03
OCLN,1.41E-03
OLFML2A,1.41E-03
OTUD3,1.41E-03
PARD6A,1.41E-03
PAX3,1.41E-03
PDE1C,1.41E-03
PIGQ,1.41E-03
PSMB6,1.41E-03
PUS3,1.41E-03
RNF139,1.41E-03
SKAP1,1.41E-03
SUMO1P2 /// SUMO1P2,1.41E-03
TLR7,1.41E-03
TTC3 /// TTC3P1,1.41E-03
VIPR2,1.41E-03
ZCCHC8,1.41E-03
ACOX2,1.40E-03
ADARB1,1.40E-03
ARAP2 /// LOC101928667,1.40E-03
CRMP1,1.40E-03
CXCL12,1.40E-03
DIDO1,1.40E-03
FADS3,1.40E-03
FSCN3,1.40E-03
IL23A,1.40E-03
KLK7,1.40E-03
MAGED4 /// MAGED4B /// SNORA11D /// SNORA11E,1.40E-03
MBTPS1,1.40E-03
MPHOSPH10,1.40E-03
MTSS1L,1.40E-03
NDUFS1,1.40E-03
NLRP2,1.40E-03
OGFOD3,1.40E-03
PARN,1.40E-03
PAWR,1.40E-03
PFKFB2,1.40E-03
PRR5L,1.40E-03
PTGDS,1.40E-03
RASSF2,1.40E-03
RNF32,1.40E-03
RPP25,1.40E-03
RUSC1,1.40E-03
SDHB,1.40E-03
SEC31B,1.40E-03
SIKE1,1.40E-03
SLC25A13,1.40E-03
SNN,1.40E-03
TRIM14,1.40E-03
ZFR,1.40E-03
ZNF365,1.40E-03
ZNF440,1.40E-03
ZNF592,1.40E-03
ZNF835,1.40E-03
APLNR,1.39E-03
APOA1,1.39E-03
ASH2L,1.39E-03
AXIN1,1.39E-03
CCL18,1.39E-03
CEP97,1.39E-03
CLUH,1.39E-03
EAF2,1.39E-03
FAM216A,1.39E-03
FGD1,1.39E-03
GABARAPL3,1.39E-03
GAR1,1.39E-03
HARS2,1.39E-03
HMGCS1,1.39E-03
HOXC4,1.39E-03
HTT,1.39E-03
ITGAX,1.39E-03
JOSD1,1.39E-03
LINC00472,1.39E-03
LIPC,1.39E-03
LRP5L,1.39E-03
MGRN1,1.39E-03
MIIP,1.39E-03
NPAS2,1.39E-03
PKD1P1,1.39E-03
PTHLH,1.39E-03
RBP1,1.39E-03
RPP14,1.39E-03
SFI1,1.39E-03
SMUG1,1.39E-03
STXBP2,1.39E-03
SYMPK,1.39E-03
TACO1,1.39E-03
UBN1,1.39E-03
ACBD4,1.38E-03
ARHGAP1,1.38E-03
ASB12 /// MTMR8,1.38E-03
ATXN10,1.38E-03
BTBD7,1.38E-03
BYSL,1.38E-03
CD1B,1.38E-03
CD81,1.38E-03
CENPM,1.38E-03
CEP63,1.38E-03
CHEK2,1.38E-03
CRIM1 /// LOC101929500,1.38E-03
CUBN,1.38E-03
EIF2AK2,1.38E-03
GEMIN8,1.38E-03
GLRX3,1.38E-03
GNAT2,1.38E-03
GRK5,1.38E-03
HLA-DMB,1.38E-03
IQCG,1.38E-03
KANK2,1.38E-03
LAMA3,1.38E-03
LMNB2,1.38E-03
LPAR4,1.38E-03
LRRC49,1.38E-03
NEFM,1.38E-03
NRG2,1.38E-03
PANX1,1.38E-03
PAX4,1.38E-03
PDXK,1.38E-03
PELI1,1.38E-03
PELO,1.38E-03
PFKFB1,1.38E-03
PRSS8,1.38E-03
PSRC1,1.38E-03
RNASE1,1.38E-03
S100A10,1.38E-03
SCAF8,1.38E-03
SLC35E1,1.38E-03
SNF8,1.38E-03
SYT12,1.38E-03
TMEM259,1.38E-03
TMOD1,1.38E-03
VCL,1.38E-03
ZC3H15,1.38E-03
ZFP2,1.38E-03
ACTR3B,1.37E-03
AIMP1,1.37E-03
AMIGO2,1.37E-03
APLP2,1.37E-03
ARHGAP29,1.37E-03
BCL9,1.37E-03
BRSK2,1.37E-03
BSCL2 /// HNRNPUL2-BSCL2,1.37E-03
CCNA1,1.37E-03
CEP170B,1.37E-03
CLDN14,1.37E-03
CLN8,1.37E-03
COQ3,1.37E-03
CPSF1,1.37E-03
DOCK3,1.37E-03
GAD1,1.37E-03
GDPD2,1.37E-03
IGFALS,1.37E-03
KLK13,1.37E-03
LAP3,1.37E-03
LDB2,1.37E-03
MICA,1.37E-03
MRPL4,1.37E-03
NRBF2,1.37E-03
OR51E2,1.37E-03
ORM1,1.37E-03
PCSK6,1.37E-03
PJA1,1.37E-03
POMP,1.37E-03
PYHIN1,1.37E-03
SCARA3,1.37E-03
SCNN1G,1.37E-03
SEPHS2,1.37E-03
SIN3B,1.37E-03
SLC9A7,1.37E-03
SLCO5A1,1.37E-03
TF,1.37E-03
TMEM147,1.37E-03
TMEM39B,1.37E-03
TSC22D2,1.37E-03
UBE2N,1.37E-03
YARS,1.37E-03
ZNF154,1.37E-03
ZNF804A,1.37E-03
ACKR3,1.36E-03
AKAP5,1.36E-03
ARCN1,1.36E-03
ARSA,1.36E-03
CACNA1D,1.36E-03
CCNJL,1.36E-03
CEP68,1.36E-03
CSRP2,1.36E-03
CTSK,1.36E-03
CUL5,1.36E-03
EGFR,1.36E-03
ENAH,1.36E-03
ERCC5,1.36E-03
EXOSC7,1.36E-03
FAXDC2,1.36E-03
FBXL8,1.36E-03
HEXIM1,1.36E-03
IDH1,1.36E-03
KCNA5,1.36E-03
LDOC1,1.36E-03
LRRC8B,1.36E-03
MAP3K5,1.36E-03
MRPL33,1.36E-03
MS4A6A,1.36E-03
MTM1,1.36E-03
MYO10,1.36E-03
NSUN6,1.36E-03
OSTM1,1.36E-03
PDE4A,1.36E-03
PRDX4,1.36E-03
PRKCA,1.36E-03
PRKCD,1.36E-03
R3HDM2,1.36E-03
RPL4 /// SNORD16 /// SNORD18A /// SNORD18B /// SNORD18C,1.36E-03
SMC3,1.36E-03
ST3GAL5,1.36E-03
STX17,1.36E-03
TACC3,1.36E-03
TBC1D4,1.36E-03
TECR,1.36E-03
TMEM165,1.36E-03
TMEM177,1.36E-03
TNFSF14,1.36E-03
TSFM,1.36E-03
TULP3,1.36E-03
TXNDC15,1.36E-03
UBL3,1.36E-03
UBL5,1.36E-03
VDAC1,1.36E-03
ZNF652,1.36E-03
ABCC8,1.35E-03
ACTA1,1.35E-03
AHCYL1,1.35E-03
AQP1,1.35E-03
ARFIP1,1.35E-03
AZI2,1.35E-03
C19orf57,1.35E-03
CNTNAP2,1.35E-03
COL18A1,1.35E-03
CTNND1 /// TMX2-CTNND1,1.35E-03
CTSO,1.35E-03
CXorf57,1.35E-03
CYFIP1,1.35E-03
DAP3,1.35E-03
DCAF16,1.35E-03
DENND4C,1.35E-03
DSE,1.35E-03
DUSP22,1.35E-03
DUSP4,1.35E-03
EFHC1,1.35E-03
EMC1,1.35E-03
ETFB,1.35E-03
EXO1,1.35E-03
FBXO21,1.35E-03
FLT3LG,1.35E-03
GCNT1,1.35E-03
GINS2,1.35E-03
IFNGR1,1.35E-03
IGLV1-44,1.35E-03
JMJD7 /// JMJD7-PLA2G4B,1.35E-03
KANK3,1.35E-03
KIF3C,1.35E-03
KLKB1,1.35E-03
MCTP2,1.35E-03
MGAT1,1.35E-03
MKS1,1.35E-03
MRPL9,1.35E-03
MSI1,1.35E-03
MTMR2,1.35E-03
MYBBP1A,1.35E-03
MYH13,1.35E-03
OPN1SW,1.35E-03
PACS2,1.35E-03
PDHA1,1.35E-03
PIAS1,1.35E-03
PPIF,1.35E-03
PPIP5K1,1.35E-03
PPP1R10,1.35E-03
RPS27,1.35E-03
SERPINE2,1.35E-03
SHC3,1.35E-03
SNAP29,1.35E-03
SNX17,1.35E-03
SPRED2,1.35E-03
TBRG4,1.35E-03
TMCC1,1.35E-03
TRIM38,1.35E-03
UGT2B4,1.35E-03
UQCRH /// UQCRHL,1.35E-03
USP12,1.35E-03
USP14,1.35E-03
YBX2,1.35E-03
YLPM1,1.35E-03
ZNF394,1.35E-03
ACTA2,1.34E-03
ADCY7,1.34E-03
ADCY9,1.34E-03
ARAP3,1.34E-03
ARSD,1.34E-03
BTBD3,1.34E-03
CCL5,1.34E-03
CHN2,1.34E-03
CIB2,1.34E-03
CNOT2,1.34E-03
COPS4,1.34E-03
CRELD2,1.34E-03
CSPG5,1.34E-03
CWF19L1,1.34E-03
CYSLTR2,1.34E-03
DNAJA2,1.34E-03
EI24,1.34E-03
EIF3B,1.34E-03
EMC6,1.34E-03
EMILIN2,1.34E-03
EXOSC4,1.34E-03
FAM120A,1.34E-03
FAM96B,1.34E-03
FBLN5,1.34E-03
FKBP1A /// LOC101929368,1.34E-03
GABPB1,1.34E-03
GPR17,1.34E-03
GPR68,1.34E-03
GUSBP3 /// SMA4 /// SMA5,1.34E-03
HHEX,1.34E-03
LILRB2,1.34E-03
LRP4,1.34E-03
MAGOH /// MAGOHB,1.34E-03
MAPRE3,1.34E-03
MYOM2,1.34E-03
MYOT,1.34E-03
NCBP1,1.34E-03
NDST2,1.34E-03
NOD2,1.34E-03
OBSL1,1.34E-03
ORC4,1.34E-03
OXT,1.34E-03
PLAC1,1.34E-03
POLR3F,1.34E-03
PPP1R14D,1.34E-03
PPP2R2D,1.34E-03
PRKDC,1.34E-03
PSMC6,1.34E-03
PSORS1C2,1.34E-03
RAB11FIP3,1.34E-03
RALY,1.34E-03
RPL27A,1.34E-03
RPL35A,1.34E-03
RPRD1A,1.34E-03
RPS17P5 /// RPS17P5,1.34E-03
SCAI,1.34E-03
SCAP,1.34E-03
SH3BP1,1.34E-03
SLC22A4,1.34E-03
SLC6A1,1.34E-03
SMAD7,1.34E-03
SMO,1.34E-03
THAP7,1.34E-03
