orf,sgd
YML012W,ERV25
YML020W,YML020W
YML021C,UNG1
YML027W,YOX1
YML033W,YML033W
YML034W,YML034W
YML050W,YML050W
YML052W,SUR7
YML058W,SML1
YML060W,OGG1
YML061C,PIF1
YML064C,TEM1
YML065W,ORC1
YML066C,YML066C
YML072C,YML072C
YML100W,TSL1
YML102W,CAC2
YML109W,ZDS2
YML110C,DBI56
YML116W,ATR1
YML117W,YML117W
YML119W,YML119W
YML120C,NDI1
YML123C,PHO84
YML125C,YML125C
YML133C,YML133C
YMR001C,CDC5
YMR002W,YMR002W
YMR003W,YMR003W
YMR011W,HXT2
YMR015C,ERG5
YMR031C,YMR031C
YMR032W,HOF1
YMR048W,YMR048W
YMR055C,BUB2
YMR058W,FET3
YMR076C,PDS5
YMR078C,CTF18
YMR144W,YMR144W
YMR145C,YMR145C
YMR163C,YMR163C
YMR179W,SPT21
YMR183C,SSO2
YMR189W,GCV2
YMR198W,CIK1
YMR199W,CLN1
YMR202W,ERG2
YMR215W,YMR215W
YMR238W,DFG5
YMR246W,FAA4
YMR253C,YMR253C
YMR254C,YMR254C
YMR278W,YMR278W
YMR295C,YMR295C
YMR305C,YMR305C
YMR307W,GAS1
YNL003C,PET8
YNL015W,PBI2
YNL030W,HHF2
YNL031C,HHT2
YNL037C,IDH1
YNL043C,YNL043C
YNL046W,YNL046W
YNL056W,YNL056W
YNL057W,YNL057W
YNL058C,YNL058C
YNL072W,RNH35
YNL078W,YNL078W
YNL082W,PMS1
YNL102W,POL1
YNL111C,CYB5
YNL126W,SPC98
YNL134C,YNL134C
YNL145W,MFA2
YNL160W,YGP1
YNL165W,YNL165W
YNL166C,YNL166C
YNL169C,PSD1
YNL171C,YNL171C
YNL172W,APC1
YNL173C,MDG1
YNL176C,YNL176C
YNL181W,YNL181W
YNL192W,CHS1
YNL197C,WHI3
YNL208W,YNL208W
YNL216W,RAP1
YNL225C,CNM67
YNL231C,PDR16
YNL233W,BNI4
YNL262W,POL2
YNL263C,YIF1
YNL273W,TOF1
YNL276C,YNL276C
YNL283C,WSC2
YNL289W,PCL1
YNL300W,YNL300W
YNL304W,YNL304W
YNL309W,STB1
YNL312W,RFA2
YNL326C,YNL326C
YNL327W,EGT2
YNL328C,MDJ2
YNL339C,YNL339C
YNR009W,YNR009W
YNR044W,AGA1
YNR050C,LYS9
YNR066C,YNR066C
YNR067C,YNR067C
YOL007C,CSI2
YOL011W,YOL011W
YOL012C,HTA3
YOL014W,YOL014W
YOL016C,CMK2
YOL017W,YOL017W
YOL019W,YOL019W
YOL030W,YOL030W
YOL034W,YOL034W
YOL058W,ARG1
YOL069W,NUF2
YOL070C,YOL070C
YOL088C,MPD2
YOL090W,MSH2
YOL094C,RFC4
YOL101C,YOL101C
YOL112W,MSB4
YOL114C,YOL114C
YOL119C,YOL119C
YOL132W,YOL132W
YOL150C,YOL150C
YOL158C,YOL158C
YOR018W,ROD1
YOR023C,YOR023C
YOR025W,HST3
YOR033C,DHS1
YOR049C,YOR049C
YOR052C,YOR052C
YOR058C,ASE1
YOR066W,YOR066W
YOR073W,YOR073W
YOR074C,CDC21
YOR075W,UFE1
YOR083W,YOR083W
YOR084W,YOR084W
YOR104W,YOR104W
YOR105W,YOR105W
YOR114W,YOR114W
YOR115C,YOR115C
YOR126C,IAH1
YOR127W,RGA1
YOR129C,YOR129C
YOR144C,YOR144C
YOR152C,YOR152C
YOR153W,PDR5
YOR176W,HEM15
YOR188W,MSB1
YOR195W,SLK19
YOR229W,WTM2
YOR230W,WTM1
YOR235W,SNR17A
YOR242C,SSP2
YOR247W,SRL1
YOR248W,YOR248W
YOR250C,CLP1
YOR256C,YOR256C
YOR258W,YOR258W
YOR263C,YOR263C
YOR264W,YOR264W
YOR270C,VPH1
YOR273C,YOR273C
YOR283W,YOR283W
YOR298W,YOR298W
YOR307C,SLY41
YOR308C,YOR308C
YOR313C,SPS4
YOR314W,YOR314W
YOR315W,YOR315W
YOR317W,FAA1
YOR320C,YOR320C
YOR321W,PMT3
YOR323C,PRO2
YOR324C,YOR324C
YOR332W,VMA4
YOR337W,TEA1
YOR342C,YOR342C
YOR355W,GDS1
YOR372C,YOR372C
YOR383C,YOR383C
YOR391C,YOR391C
YPL014W,YPL014W
YPL021W,ECM23
YPL025C,YPL025C
YPL032C,SVL3
YPL036W,PMA2
YPL054W,LEE1
YPL057C,SUR1
YPL058C,PDR12
YPL061W,ALD6
YPL075W,GCR1
YPL095C,YPL095C
YPL111W,CAR1
YPL116W,HOS3
YPL124W,NIP29
YPL127C,HHO1
YPL128C,TBF1
YPL133C,YPL133C
YPL141C,YPL141C
YPL153C,RAD53
YPL155C,KIP2
YPL158C,YPL158C
YPL163C,SVS1
YPL187W,MF(ALPHA)1
YPL208W,YPL208W
YPL209C,IPL1
YPL221W,BOP1
YPL232W,SSO1
YPL241C,CIN2
YPL242C,IQG1
YPL250C,YPL250C
YPL253C,VIK1
YPL255W,BBP1
YPL256C,CLN2
YPL264C,YPL264C
YPL265W,DIP5
YPL267W,YPL267W
YPL269W,KAR9
YPL274W,YPL274W
YPL283C,YPL283C
YPR013C,YPR013C
YPR014C,YPR014C
YPR018W,RLF2
YPR019W,CDC54
YPR034W,ARP7
YPR045C,YPR045C
YPR075C,OPY2
YPR076W,YPR076W
YPR106W,ISR1
YPR107C,YTH1
YPR111W,DBF20
YPR119W,CLB2
YPR120C,CLB5
YPR128C,YPR128C
YPR135W,CTF4
YPR138C,MEP3
YPR141C,KAR3
YPR149W,NCE102
YPR155C,NCA2
YPR156C,YPR156C
YPR157W,YPR157W
YPR159W,KRE6
YPR160W,GPH1
YPR167C,MET16
YPR174C,YPR174C
YPR175W,DPB2
YPR202W,YPR202W
YPR203W,YPR203W
YPR204W,YPR204W
