gene,influence
ESRRG,2.02E-03
NFE2,2.02E-03
NR1D1 /// THRA,2.01E-03
ARID5B,2.01E-03
FOSB,2.01E-03
MEF2B /// MEF2BNB /// MEF2BNB-MEF2B,2.00E-03
TCF7L2,2.00E-03
FOXD2,1.99E-03
POU1F1,1.99E-03
TEF,1.98E-03
SOX13,1.98E-03
GATA2,1.98E-03
HEY1,1.98E-03
TBP,1.97E-03
GSC2,1.97E-03
NKX2-2,1.96E-03
POU3F3,1.96E-03
HOXC13,1.95E-03
AHR,1.95E-03
TLX1,1.95E-03
OVOL1,1.93E-03
MSX1,1.91E-03
PAX9,1.91E-03
TBX4,1.91E-03
TEAD3,1.91E-03
TGIF2,1.91E-03
SOX21,1.90E-03
TCF7,1.89E-03
MYB,1.89E-03
BACH1,1.89E-03
ONECUT1,1.88E-03
RORA,1.88E-03
ZNF589,1.88E-03
SOX14,1.87E-03
NFATC1,1.86E-03
NKX3-1,1.86E-03
HOXB13,1.86E-03
PITX3,1.85E-03
MNT,1.82E-03
CEBPA,1.82E-03
MAFF,1.82E-03
POU2F1,1.82E-03
ARNT,1.81E-03
TFEB,1.81E-03
MYBL2,1.81E-03
CDX1,1.80E-03
HOXC8,1.80E-03
E2F5,1.80E-03
TEAD1,1.79E-03
LEF1,1.79E-03
HOXA1,1.79E-03
BATF,1.79E-03
SOX5,1.79E-03
MECOM,1.78E-03
POU5F1 /// POU5F1B /// POU5F1P3 /// POU5F1P4,1.78E-03
FOXF2,1.77E-03
PAX1,1.76E-03
FOXB1,1.74E-03
TP53,1.74E-03
CEBPD,1.74E-03
GATA1,1.73E-03
CPEB1,1.71E-03
POU5F1B,1.71E-03
PBX1,1.71E-03
SIX5,1.70E-03
MEIS1,1.68E-03
ZNF232,1.68E-03
SOX15,1.67E-03
DMRT1,1.66E-03
FOXH1,1.66E-03
RFX3,1.66E-03
ATF3,1.65E-03
POU4F3,1.64E-03
FOXD1,1.64E-03
IRX5,1.64E-03
ALX4,1.63E-03
PBX2,1.63E-03
POU3F2,1.63E-03
FOS,1.62E-03
HOXB5,1.61E-03
BARX1,1.61E-03
POU2F3,1.60E-03
CEBPE,1.60E-03
ETV3,1.60E-03
ATF4,1.60E-03
TFEC,1.60E-03
CEBPG,1.59E-03
NFYC,1.59E-03
CREB3L1,1.58E-03
PROP1,1.58E-03
HOXB8,1.58E-03
CENPB,1.57E-03
CDX2,1.57E-03
CREM,1.57E-03
GATA3,1.56E-03
ETV1,1.56E-03
HOXB7,1.56E-03
HBP1,1.55E-03
HNF1A,1.54E-03
MYCN,1.53E-03
HOXD9,1.52E-03
PAX2,1.52E-03
HOXB3,1.52E-03
TBX21,1.52E-03
CUX1,1.51E-03
TLX2,1.51E-03
LHX2,1.51E-03
POU4F2,1.50E-03
POU6F1,1.50E-03
PHOX2A,1.50E-03
GATA6,1.49E-03
FOXP3,1.49E-03
BARX2,1.49E-03
DBP,1.49E-03
EN2,1.48E-03
SHOX2,1.47E-03
SOX17,1.46E-03
MEOX2,1.46E-03
NFE2L1,1.46E-03
CLOCK,1.45E-03
MSX2,1.45E-03
PHOX2B,1.44E-03
CREB3,1.44E-03
FOXL1,1.44E-03
MLX,1.43E-03
BATF3,1.42E-03
FOXG1,1.42E-03
CDC5L,1.42E-03
SPDEF,1.42E-03
POU6F2,1.40E-03
XBP1,1.40E-03
MNX1,1.37E-03
PAX6,1.37E-03
VAX2,1.36E-03
DLX2,1.36E-03
ZFHX3,1.36E-03
GATA4,1.36E-03
HOXA5,1.36E-03
TBX19,1.35E-03
HOXA7,1.35E-03
NANOG,1.34E-03
NEUROG2,1.34E-03
OLIG2,1.32E-03
PRRX2,1.31E-03
VSX1,1.31E-03
PITX1,1.30E-03
DLX6,1.30E-03
HOXB6,1.28E-03
VENTX,1.27E-03
HOXD11,1.27E-03
HINFP,1.27E-03
EMX1,1.26E-03
GBX1,1.24E-03
EMX2,1.24E-03
HMGA2,1.24E-03
LMX1B,1.22E-03
EVX1,1.21E-03
SHOX,1.21E-03
PROX1,1.20E-03
PKNOX1,1.19E-03
LBX1,1.17E-03
HOXA2,1.17E-03
MAFG,1.16E-03
HMBOX1,1.16E-03
ALX1,1.14E-03
PAX4,1.14E-03
ZFHX2,1.14E-03
CREB1,1.12E-03
RAX,1.12E-03
MYBL1,1.11E-03
PRRX1,1.10E-03
GBX2,1.10E-03
PAX7,1.10E-03
ATF7,1.10E-03
DLX4,1.08E-03
CXXC1,1.07E-03
EN1,1.06E-03
CRX,1.06E-03
HOXB2,1.05E-03
HOXC11,1.05E-03
MEOX1,1.04E-03
MAN1B1,1.04E-03
PDX1,1.04E-03
HMX1,1.03E-03
INTS7,1.03E-03
GMEB1,1.02E-03
CUX2,1.01E-03
CTSD,1.01E-03
GINS3,9.95E-04
RANBP3,9.94E-04
ABCA11P,9.94E-04
PTH2R,9.93E-04
SMAD7,9.91E-04
PAX3,9.90E-04
RBM38,9.90E-04
SFXN1,9.85E-04
LHX6,9.85E-04
AHCY,9.79E-04
ALX3,9.78E-04
BRF2,9.77E-04
NIPAL3,9.76E-04
DGKD,9.70E-04
IL18RAP,9.67E-04
WBP2,9.65E-04
NFIL3,9.65E-04
CLUAP1,9.65E-04
NKIRAS2,9.64E-04
MRPL4,9.61E-04
HLF,9.61E-04
IGSF3,9.58E-04
NT5M,9.56E-04
PGAP2,9.55E-04
ARPIN,9.48E-04
LRRC47,9.47E-04
IKBKG,9.47E-04
RCHY1,9.46E-04
RABGAP1L,9.43E-04
NEUROD2,9.40E-04
VCP,9.40E-04
GPR135,9.40E-04
TSPAN2,9.39E-04
GRPEL1,9.38E-04
STRAP,9.37E-04
PRR13,9.35E-04
SIDT2,9.34E-04
DLX5,9.33E-04
SS18,9.32E-04
E4F1,9.31E-04
FABP5,9.31E-04
RPS6KB2,9.30E-04
DDX28,9.29E-04
SNIP1,9.28E-04
RPS28,9.28E-04
TES,9.28E-04
B3GNT3,9.27E-04
SGK1,9.27E-04
ELOVL6,9.26E-04
NAV3,9.25E-04
RCN3,9.25E-04
CLEC3B /// EXOSC7,9.24E-04
ZNF234,9.24E-04
ZNF280B,9.24E-04
VAMP5,9.23E-04
ALCAM,9.23E-04
ADAM9,9.22E-04
SNRPD1,9.21E-04
RABEPK,9.18E-04
C1GALT1C1,9.17E-04
IDO1,9.17E-04
MLXIP,9.16E-04
PRDM2,9.16E-04
TTC22,9.16E-04
SUCLG1,9.15E-04
ZBED1,9.14E-04
MOCS1,9.14E-04
BST2,9.13E-04
OGFOD2,9.13E-04
SP140L,9.13E-04
HSPA6,9.12E-04
HSPA12A,9.11E-04
PFN2,9.11E-04
ELL3,9.10E-04
RBM48,9.10E-04
PLCE1,9.10E-04
MID1,9.09E-04
ACOT9,9.09E-04
NPL,9.07E-04
FXYD5,9.07E-04
ELMO1,9.06E-04
MARK2,9.06E-04
ADAMTS9,9.05E-04
NFKBIL1,9.05E-04
DOCK3,9.05E-04
TOMM34,9.04E-04
NLK,9.04E-04
ZNF516,9.03E-04
UGDH,9.03E-04
GPAA1,9.03E-04
CIR1,9.02E-04
B3GNTL1,9.02E-04
ASXL1,9.02E-04
ALDH1A2,9.01E-04
MOB4,9.01E-04
DGCR2,9.00E-04
ACSM5,9.00E-04
DUS1L,8.99E-04
ATP9A,8.98E-04
BCL2L2,8.98E-04
PHF21A,8.98E-04
DOK1,8.98E-04
ROM1,8.96E-04
PDE4DIP,8.96E-04
C3orf62 /// MIR4271 /// USP4,8.95E-04
LRRC37A2 /// LRRC37A4P,8.95E-04
ZMYM5,8.93E-04
PITPNB,8.93E-04
COMMD4,8.92E-04
HSPA4,8.91E-04
MX2,8.91E-04
PPP2CB,8.90E-04
SLC37A1,8.90E-04
LAPTM4A,8.89E-04
SCNN1B,8.89E-04
CARS2,8.88E-04
GNB1L,8.88E-04
SMU1,8.87E-04
SRRM2,8.87E-04
URM1,8.86E-04
SCNM1 /// TNFAIP8L2-SCNM1,8.85E-04
STARD5,8.85E-04
LINC01278,8.84E-04
REPIN1,8.84E-04
AP1G2,8.84E-04
RABL2A /// RABL2B,8.83E-04
MYO1E,8.83E-04
ATP1B2,8.82E-04
RFC3,8.82E-04
LRP1,8.82E-04
CRYM,8.82E-04
TAZ,8.82E-04
CLEC2D,8.82E-04
OSBPL10,8.81E-04
PCCA,8.81E-04
SAYSD1,8.81E-04
SSTR2,8.80E-04
NIPAL2,8.80E-04
PRR5L,8.79E-04
YIPF2,8.79E-04
RPL31,8.79E-04
NLRX1,8.78E-04
GDPD3,8.78E-04
ZNF81,8.78E-04
TMEM14A,8.78E-04
PDE12,8.78E-04
ARMC7,8.78E-04
GNB1,8.77E-04
RAD51B,8.77E-04
DNAJA2,8.77E-04
ERAP2,8.77E-04
DPM2,8.77E-04
ARL2,8.77E-04
TUFM,8.76E-04
SMOX,8.76E-04
LONRF1,8.75E-04
KRT76,8.75E-04
MED4,8.74E-04
PARM1,8.73E-04
TMEM248,8.73E-04
CSTB,8.72E-04
CSRP2,8.70E-04
SAP18,8.70E-04
IFFO1,8.70E-04
CXCR4,8.70E-04
MAP4K2,8.70E-04
WFDC2,8.70E-04
REV3L,8.70E-04
SMC4,8.70E-04
STC1,8.69E-04
NPM1,8.68E-04
NXPH4,8.68E-04
SLC39A8,8.68E-04
PTK6,8.68E-04
CBX3,8.67E-04
RALGPS2,8.67E-04
SNAP29,8.66E-04
TTC38,8.66E-04
C7orf55-LUC7L2 /// LUC7L2,8.66E-04
MICA,8.66E-04
LMCD1,8.65E-04
SREK1,8.65E-04
C1S,8.65E-04
LTA,8.64E-04
SNRNP35,8.64E-04
KIAA0556,8.63E-04
NDUFA13,8.63E-04
RAPGEF3,8.62E-04
KMT2A,8.62E-04
TM9SF4,8.62E-04
KLK13,8.62E-04
PGM1,8.61E-04
NAP1L1,8.61E-04
CCSER2,8.60E-04
DCTN5,8.60E-04
PCYOX1,8.60E-04
FAT4,8.60E-04
AKAP10,8.59E-04
APRT,8.59E-04
GJC1,8.59E-04
CA4,8.58E-04
CPE,8.58E-04
TMX1,8.58E-04
GGCX,8.58E-04
PCMTD2,8.58E-04
TRAM1,8.58E-04
JAG2,8.57E-04
CDR2 /// LOC101060399,8.57E-04
COX7B,8.57E-04
ZFP30,8.56E-04
BCAT2,8.56E-04
JADE1,8.55E-04
RASGRP3,8.55E-04
CPNE7,8.54E-04
MAP2K2,8.54E-04
PSMB1,8.54E-04
TSFM,8.53E-04
CBLL1,8.53E-04
PIGL,8.52E-04
COL9A3,8.52E-04
NFKBIB,8.52E-04
ACP1,8.52E-04
SLC25A10,8.51E-04
SLCO5A1,8.51E-04
SIGIRR,8.51E-04
SHMT2,8.51E-04
PLXNB3,8.50E-04
EMILIN1,8.50E-04
HIST1H4E,8.50E-04
FAM129A,8.50E-04
SH3TC2,8.49E-04
RNF7,8.49E-04
THAP7,8.49E-04
MPZL1,8.49E-04
GZMB,8.49E-04
SDR39U1,8.48E-04
IL23A,8.48E-04
MIR4746 /// UBXN6,8.48E-04
SELPLG,8.47E-04
CDC42BPB,8.47E-04
ADAM28,8.47E-04
IMPA2,8.47E-04
GABRB3,8.47E-04
PES1,8.47E-04
DGKZ,8.47E-04
DNAJC1,8.46E-04
ECHS1,8.46E-04
PGAM1,8.46E-04
COL4A5,8.45E-04
CCL8,8.45E-04
BICD2,8.45E-04
TFAM,8.45E-04
DIAPH2-AS1,8.45E-04
PSMC5,8.45E-04
DERL2,8.45E-04
RITA1,8.44E-04
GDF10,8.44E-04
WASL,8.44E-04
PWP2,8.44E-04
ANXA6,8.44E-04
SGCG,8.44E-04
SERPINB7,8.44E-04
HYAL2,8.44E-04
WDR76,8.43E-04
ARHGAP24,8.43E-04
MYH9,8.42E-04
HMGN3,8.42E-04
CHRD,8.41E-04
ZNF688,8.41E-04
SEC11A,8.41E-04
GCAT,8.41E-04
GAB2,8.41E-04
CDKN2AIP,8.41E-04
AGBL2,8.41E-04
LBR,8.41E-04
CTSS,8.40E-04
SH3BGRL,8.40E-04
ELOVL5,8.40E-04
ATP1B1,8.40E-04
CEP170B,8.40E-04
ACSM3,8.39E-04
GPR4,8.39E-04
DNASE1L3,8.39E-04
RMND1,8.39E-04
CD81,8.39E-04
ASF1A,8.39E-04
KYNU,8.39E-04
PTPRM,8.39E-04
ADRA2A,8.39E-04
LHFPL2,8.39E-04
FUT2,8.39E-04
DCAF6,8.39E-04
C19orf54,8.38E-04
GHRH,8.38E-04
BRAF /// KIAA1549,8.38E-04
CCDC22,8.38E-04
PUS1,8.38E-04
ISL1,8.38E-04
TSPYL2,8.38E-04
TIAL1,8.38E-04
AAAS,8.38E-04
RNF44,8.37E-04
POLD3,8.37E-04
STS,8.37E-04
CHPF,8.37E-04
N4BP1,8.37E-04
EMC2,8.37E-04
NQO1,8.36E-04
CXCR1,8.36E-04
GABPB1,8.36E-04
IFT57,8.36E-04
ATAD2B,8.35E-04
ZFP64,8.35E-04
FCN2,8.35E-04
ZNF358,8.35E-04
MTCH2,8.35E-04
SIRPB1,8.35E-04
MRPS16,8.35E-04
CYP2C8,8.34E-04
ST14,8.34E-04
POTEKP,8.34E-04
YAF2,8.33E-04
NDE1,8.33E-04
DUSP22,8.33E-04
ARPC4,8.33E-04
ATP6V1B2,8.33E-04
KAT6A,8.32E-04
TPX2,8.32E-04
LY75,8.32E-04
ZNF292,8.32E-04
HUNK,8.32E-04
CAPN10,8.32E-04
STK25,8.32E-04
PSMD6,8.32E-04
DDX23,8.32E-04
HLA-F,8.32E-04
WNT5A,8.32E-04
CDRT1,8.32E-04
NIT1,8.31E-04
OCLN,8.31E-04
KITLG,8.31E-04
ITGAV,8.31E-04
KCNS3,8.31E-04
PLAU,8.31E-04
AHSA1,8.31E-04
COPZ2,8.30E-04
LRRC3,8.30E-04
NDRG4,8.30E-04
HIST2H2AA3 /// HIST2H2AA4,8.30E-04
LTK,8.29E-04
TGFB2,8.29E-04
TUBA4A,8.29E-04
FPGT,8.29E-04
SLC9A2,8.29E-04
HNRNPL,8.29E-04
ARHGAP25,8.29E-04
AURKAIP1,8.29E-04
COLEC10,8.29E-04
ABHD10,8.28E-04
HERC2,8.28E-04
ZNF304,8.28E-04
CTSF,8.28E-04
PLD2,8.27E-04
LOXL2,8.27E-04
IL12B,8.27E-04
SULF1,8.27E-04
DLG1,8.27E-04
KLRC4,8.27E-04
DEF8,8.27E-04
TRAPPC11,8.27E-04
ACOX2,8.26E-04
PCK2,8.26E-04
ZNF225,8.26E-04
PTCRA,8.26E-04
RAB4A /// SPHAR,8.26E-04
PRKAR1B,8.26E-04
CRELD2,8.25E-04
CTSK,8.25E-04
RNASE2,8.25E-04
PFKM,8.25E-04
BET1L,8.25E-04
TPMT,8.25E-04
SPATS2L,8.25E-04
CYFIP1,8.25E-04
NPC1,8.25E-04
TXLNA,8.25E-04
NEK1,8.25E-04
BAD,8.25E-04
AKT1,8.24E-04
PSMB9,8.24E-04
ALDH1B1,8.24E-04
MED15,8.24E-04
DRAP1,8.24E-04
MSH5-SAPCD1 /// SAPCD1,8.24E-04
SFXN3,8.23E-04
CCNE2,8.23E-04
SYK,8.23E-04
PPIC,8.23E-04
YTHDC2,8.22E-04
SGSM3,8.22E-04
PDE9A,8.22E-04
IKZF5,8.22E-04
ASNA1,8.22E-04
VRK1,8.21E-04
ARHGEF18,8.21E-04
SAP30,8.21E-04
SIK1,8.21E-04
TGFA,8.21E-04
HCP5,8.21E-04
OPHN1,8.21E-04
DCAF13,8.21E-04
FRY,8.21E-04
EML4,8.20E-04
POLR3G,8.20E-04
MRPS18C,8.20E-04
MMP2,8.20E-04
RAI1,8.20E-04
ITPA,8.20E-04
TLDC1,8.20E-04
RRN3,8.20E-04
GTF2A1L /// STON1-GTF2A1L,8.20E-04
PDCD6IP,8.20E-04
ACKR3,8.20E-04
SYNPO2L,8.19E-04
FHL2,8.19E-04
CALD1,8.19E-04
CCDC88A,8.19E-04
TSPAN15,8.19E-04
CRIPT,8.19E-04
BMP6,8.18E-04
PRSS21,8.18E-04
FASN,8.18E-04
MAPKAPK5-AS1,8.18E-04
TMEM184C,8.18E-04
CYFIP2,8.18E-04
SLC25A15,8.17E-04
GPR176,8.17E-04
HNRNPD,8.17E-04
TAF1D,8.17E-04
SNRPB2,8.17E-04
MRPS14,8.17E-04
RAB5B,8.17E-04
SLC1A7,8.16E-04
B9D2,8.16E-04
MPPED2,8.16E-04
GNL2,8.16E-04
C5orf66,8.15E-04
FBXO21,8.15E-04
WIPI2,8.15E-04
TIMP1,8.15E-04
DDAH1,8.15E-04
GABARAPL2,8.15E-04
RAPGEF6,8.15E-04
BARD1,8.15E-04
TMOD2,8.15E-04
ZDHHC11 /// ZDHHC11B,8.15E-04
TAPBPL,8.14E-04
CBL,8.14E-04
SLC27A2,8.14E-04
MAPK7,8.14E-04
SLC12A6,8.14E-04
F10,8.14E-04
POLR1C,8.14E-04
NUDT4,8.14E-04
MSMB,8.14E-04
MGRN1,8.14E-04
FNTA,8.14E-04
SLC27A3,8.14E-04
USP18,8.14E-04
LRRC59,8.13E-04
NOTCH1,8.13E-04
ATP6V1B1,8.13E-04
DNAJC28,8.13E-04
POPDC2,8.13E-04
LIPE,8.13E-04
PAK6,8.13E-04
KLHL24,8.12E-04
SARS,8.12E-04
XRCC6,8.12E-04
GP6,8.12E-04
DNASE1L2,8.12E-04
APOBEC3B,8.12E-04
ARF6,8.12E-04
UPK1A,8.12E-04
SLC9A6,8.12E-04
MYO7A,8.12E-04
RGS11,8.12E-04
FN1,8.12E-04
CTNND1 /// TMX2-CTNND1,8.11E-04
ALOX5,8.11E-04
KEL,8.11E-04
PDIA4,8.11E-04
RPL4 /// SNORD16 /// SNORD18A /// SNORD18B /// SNORD18C,8.11E-04
ITFG2,8.11E-04
DIS3,8.11E-04
ZNF23,8.11E-04
AHCYL1,8.10E-04
PCIF1,8.10E-04
HLA-A,8.10E-04
TNFRSF17,8.10E-04
CCL4,8.10E-04
WTAP,8.10E-04
PLA2G4C,8.10E-04
ARMCX5,8.09E-04
ZCCHC8,8.09E-04
SCARB2,8.09E-04
ITGB1BP1,8.09E-04
PLEKHB2,8.09E-04
CAPN11,8.09E-04
PHACTR1,8.09E-04
ALG8,8.09E-04
ZNF223,8.09E-04
TNFRSF4,8.09E-04
MCAM,8.09E-04
RALGAPA1,8.09E-04
HSPG2,8.09E-04
TKT,8.09E-04
ARHGEF11,8.08E-04
PDHA1,8.08E-04
TMPRSS3,8.08E-04
CHN1,8.08E-04
TMX4,8.08E-04
NFS1,8.08E-04
BTF3P12 /// BTF3P12,8.08E-04
CD101,8.08E-04
CEP57,8.08E-04
IPO8,8.08E-04
SDCCAG3,8.08E-04
TRIM29,8.07E-04
IQCG,8.07E-04
SLC8A2,8.07E-04
JMJD1C,8.07E-04
PHF14,8.07E-04
PPFIA4,8.07E-04
CYHR1,8.07E-04
RPS18,8.07E-04
FLAD1,8.07E-04
HTR1D,8.07E-04
GOLGB1,8.07E-04
BPHL,8.07E-04
RTP4,8.07E-04
ITPKC,8.06E-04
CHRNE,8.06E-04
USP13,8.06E-04
AKAP13,8.06E-04
HCCS,8.06E-04
RPAP2,8.06E-04
LINC00115,8.06E-04
CBFA2T2,8.06E-04
NDUFS4,8.06E-04
CBS,8.05E-04
OXSM,8.05E-04
ANGEL1,8.05E-04
RAF1,8.05E-04
HEXIM1,8.05E-04
MTMR11,8.05E-04
ICE2,8.05E-04
CCR5,8.05E-04
UCKL1,8.05E-04
ELMO2,8.05E-04
MAML1,8.04E-04
ZFAND3,8.04E-04
BTN2A1,8.04E-04
NUDT1,8.04E-04
NID1,8.04E-04
ATG14,8.04E-04
C5,8.04E-04
CTLA4,8.04E-04
JAK1,8.03E-04
AIMP2,8.03E-04
ABHD17B,8.03E-04
LPO,8.03E-04
NCSTN,8.03E-04
CASQ1,8.03E-04
PHF7,8.03E-04
ZNF665,8.03E-04
GTF3C2,8.03E-04
CLTB,8.03E-04
TAS2R14,8.03E-04
NLRP1,8.03E-04
TATDN2,8.03E-04
KDM6B,8.03E-04
ANAPC2,8.03E-04
CDIP1,8.03E-04
SLC22A18,8.03E-04
TIPRL,8.02E-04
SNORA29 /// TCP1,8.02E-04
TUBAL3,8.02E-04
DCLK1,8.02E-04
NOX1,8.02E-04
GPS1,8.02E-04
TPSB2,8.02E-04
CHAC1,8.02E-04
IKZF1,8.02E-04
KANK3,8.02E-04
CPED1,8.01E-04
